abandon оставить
solution решение
solve решать
some некоторые
somebody кто-то
somehow как-то
someone кто-то
something что-то
sometime иногда
sometimes иногда
somewhat отчасти
somewhere где-то
son сын
song песня
soon скоро
sophisticated утонченный
sorry огорченный
sort сортировать
soul душа
sound звук
soup суп
source источник
south юг
southern Южный
sovereignty суверенитет
space пространство
spam спам
span промежуток
spare запасной
spark искра
speak говорить
speaker оратор
special особый
specialist специалист
specialize специализироваться
specialized специализированный
species вид
specific специфический
specifically конкретно
specification спецификация
specify указывать
specimen образец
spectacle спектакль
spectacular впечатляющий
spectator зритель
spectrum спектр
speculate спекулировать
speculation спекуляция
speech речь
speed скорость
spell заклинание
spelling написание
spend тратить
spending расходующий
sphere сфера
spicy острый
spider паук
spill проливать
spin вращение
spine позвоночник
spirit дух
spiritual духовный
spite злоба
split расщеплять
spoil портить
spoken высказанный
spokesman представитель
spokesperson докладчик
spokeswoman представитель
sponsor спонсор
sponsorship спонсорство
spoon ложка
sport спорт
sporting спортивный
spot пятно
spotlight прожектор
spouse супруг
spread распространение
spring весна
spy шпион
squad команда
square площадь
squeeze сжимать
stab удар
stability стабильность
stabilize стабилизировать
stable стабильный
stadium стадион
staff персонал
stage этап
stair ступенька
stake доля
stall стойло
stamp печать
stance позиция
stand стоять
standard стандарт
standing стоящий
star звезда
stare глазеть
stark застывший
start начало
starve голодать
state государство
statement заявление
station станция
statistic статистические данные
statistical статистический
statue статуя
status статус
stay остаться
steadily непрерывно
steady устойчивый
steal красть
steam пар
steel сталь
steep крутой
steer управлять
stem стебель
step шаг
stereotype стереотип
stick придерживаться
sticky липкий
stiff жесткий
still все еще
stimulate стимулировать
stimulus стимул
stir мешать
stock склад
stomach желудок
stone камень
stop остановить
storage хранение
store магазин
storm буря
story история
straight прямой
straightforward простой
strain напряжение
strand прядь
strange странный
stranger незнакомец
strategic стратегический
strategy стратегия
stream течение
street улица
strength сила
strengthen усилить
stress стресс
stretch простираться
strict строгий
strictly строго
strike удар
striking поразительный
string строка
strip полоса
strive стараться
stroke удар
strong сильный
strongly сильно
structural структурный
structure структура
struggle борьба
student студент
studio студия
study изучать
stuff материал
stumble спотыкаться
stun оглушать
stunning ошеломляющий
stupid глупый
style стиль
subject предмет
sublist подсписок
submission подчинение
submit представить
subscriber подписчик
subscription подписка
subsequent последующий
subsequently впоследствии
subsidy субсидия
substance вещество
substantial существенный
substantially по существу
substitute замена
substitution замена
subtle тонкий
suburb пригород
suburban пригородный
succeed успешный
success успех
successful успешный
successfully успешно
succession последовательность
successive последовательный
successor преемник
such подобный
suck посасывать
sudden внезапный
suddenly внезапно
sue предъявлять иск
suffer страдать
suffering страдающий
sufficient достаточный
sufficiently достаточно
sugar сахар
suggest предлагать
suggestion предложение
suicide самоубийство
suit подходить
suitable подходящий
suite набор
sum сумма
summarize подводить итоги
summary резюме
summer лето
summit саммит
sun солнце
sunday воскресенье
super супер
superb превосходный
superior превосходящий
supermarket супермаркет
supervise наблюдать
supervision надзор
supervisor руководитель
supplement дополнение
supply поставка
support поддержка
supporter сторонник
supportive поддерживающий
suppose предполагать
supposedly предположительно
suppress подавлять
supreme высочайший
sure конечно
surely конечно
surface поверхность
surge волна
surgeon хирург
surgery хирургия
surgical хирургический
surplus избыток
surprise сюрприз
surprised удивленный
surprising удивительный
surrender сдаваться
surround окружать
surrounding окружающий
surveillance наблюдение
survey опрос
survival выживание
survive выжить
survivor уцелевший
suspect подозревать
suspend приостановить
suspension подвеска
suspicion подозрение
suspicious подозрительный
sustain поддерживать
sustainable устойчивый
swallow глотать
swear клятва
sweater свитер
sweep подметать
sweet сладкий
swim плавать
swimming плавание
swing качать
switch переключатель
sword меч
symbol символ
symbolic символический
sympathetic сочувственный
sympathy симпатия
symptom симптом
syndrome синдром
synthesis синтез
system система
systematic систематический
table стол
tablet таблетка
tackle схватить
tactic тактика
tactical тактический
tag метка
tail хвост
take принять
tale сказка
talent талант
talented талантливый
talk говорить
tall высокий
tank бак
tap кран
tape лента
target цель
task задача
taste вкус
tax налог
taxi такси
taxpayer налогоплательщик
tea чай
teach учить
teacher учитель
teaching обучение
team команда
tear рвать
technical технический
technique техника
technological технологический
technology технология
teenage подростковый
teenager подросток
teens подросток
telephone телефон
television телевидение
tell рассказывать
temperature температура
temple храм
temporarily временно
temporary временный
tempt искушать
ten десять
tenant арендатор
tend иметь тенденцию
tendency тенденция
tender нежный
tennis теннис
tension напряжение
tent палатка
tenure владение
term срок
terminal терминал
terminate прекратить
terms правила
terrain местность
terrible ужасный
terribly ужасно
terrific потрясающий
terrify устрашать
territory территория
terror террор
terrorism терроризм
terrorist террорист
test тест
testify свидетельствовать
testimony свидетельство
testing тестирование
text текст
textbook учебник
texture текстура
than чем
thank благодарить
thankfully благодарно
thanks спасибо
that что
the тот
theatre театр
theatrical театральный
theft кража
their их
theirs их
theme тема
themselves сами
then затем
theology теология
theoretical теоретический
theory теория
therapist терапевт
therapy терапия
there там
thereafter впоследствии
thereby тем самым
therefore следовательно
thesis тезис
they они
thick толстый
thief вор
thin тонкий
thing вещь
think думать
thinking размышляющий
third третий
thirsty жаждущий
thirteen тринадцать
thirty тридцать
this этот
thorough тщательный
thoroughly тщательно
though хотя
thought мысль
thought-provoking к размышлению
thoughtful задумчивый
thousand тысяча
thread нить
threat угроза
threaten угрожать
three три
threshold порог
thrilled взволнованный
thrive процветать
throat горло
through через
throughout через
throw бросать
thumb большой палец
thursday четверг
thus таким образом
ticket билет
tide прилив
tidy аккуратный
tie галстук
tight плотный
tighten затягивать
till пока
timber древесина
time время
timely своевременный
timing синхронизация
tin олово
tiny крошечный
tip кончик
tired уставший
tissue ткань
title заглавие
to к
tobacco табак
today сегодня
toe палец ноги
together вместе
toilet туалет
tolerance толерантность
tolerate терпеть
toll пошлина
tomato помидор
tomorrow завтра
ton тонна
tone тон
tongue язык
tonight сегодняшний вечер
tonne тонна
too тоже
tool инструмент
tooth зуб
top верхний
topic тема
torture пытка
toss бросать жребий
total весь
totally полностью
touch прикасаться
tough жесткий
tour тур
tourism туризм
tourist турист
tournament турнир
towards к
towel полотенце
tower башня
town город
toxic токсичный
toy игрушка
trace проследить
track дорожка
trade торговля
trademark товарный знак
trading торговый
tradition традиция
traditional традиционный
traffic движение
tragedy трагедия
tragic трагический
trail след
trailer прицеп
train поезд
trainer тренер
training обучение
trait черта характера
transaction операция
transcript расшифровка
transfer перемещение
transform преобразовать
transformation преобразование
transit транзит
transition переход
translate переводить
translation перевод
transmission коробка передач
transmit передавать
transparency прозрачность
transparent прозрачный
transport транспорт
transportation перевозка
trap ловушка
trauma травма
travel путешествовать
traveller путешественник
treasure сокровище
treat лечить
treatment лечение
treaty договор
tree дерево
tremendous огромный
trend тенденция
trial пробный
tribal племенной
tribe племя
tribunal суд
tribute дань уважения
trick уловка
trigger курок
trillion триллион
trio трио
trip поездка
triumph триумф
troop отряд
trophy трофей
tropical тропический
trouble беда
troubled беспокойный
trousers брюки
truck грузовик
truly действительно
trust доверять
trustee доверенное лицо
truth правда
try пробовать
tsunami цунами
tube трубка
tuesday вторник
tuition обучение
tune мелодия
tunnel тоннель
turn очередь
turnout забастовка
turnover оборот
tv ТВ
twelve двенадцать
twenty двадцать
twice дважды
twin близнец
twist твист
two два
type тип
typical типичный
typically типично
tyre шина
ugly уродливый
ultimate окончательный
ultimately в конце концов
umbrella зонтик
unable не в состоянии
unacceptable неприемлемый
uncertainty неопределенность
uncle дядя
uncomfortable неудобный
unconscious без сознания
under под
undergo претерпеть
undergraduate студент
underground подземный
underlying фундаментальный
undermine подрывать
understand понимать
understanding понимание
undertake предпринимать
underwear нижнее белье
undoubtedly несомненно
unemployed безработный
unemployment безработица
unexpected неожиданный
unfair несправедливый
unfold развиваться
unfortunate несчастный
unfortunately к несчастью
unhappy несчастный
uniform униформа
unify унифицировать
union объединение
unique уникальный
unit единица измерения
unite объединять
united объединенный
unity единство
universal универсальный
universe вселенная
university университет
unknown неизвестный
unless если не
unlike в отличие от
unlikely вряд ли
unnecessary ненужный
unpleasant неприятный
unprecedented беспрецедентный
until до того момента
unusual необычный
unveil открывать
up вверх
upcoming предстоящий
update обновление
upgrade обновлять
uphold поддерживать
upon на
upper верхний
upset расстроенный
upstairs верхний этаж
upwards вверх
urban городской
urge побуждать
urgent срочный
us США
usage использование
use использовать
used используемый
used to привыкший
useful полезный
useless бесполезный
user пользователь
usual обычный
usually обычно
utility польза
utilize утилизировать
utterly вконец
vacation отпуск
vacuum вакуум
vague неопределенный
valid действительный
validity допустимость
valley долина
valuable ценный
value ценность
van фургон
vanish пропадать
variable переменная
variation изменение
varied разнообразный
variety разнообразие
various различный
vary различаться
vast обширный
vegetable овощ
vehicle транспортное средство
vein жилка
venture предприятие
venue место встречи
verbal словесный
verdict вердикт
verify проверить
verse стих
version версия
versus против
vertical вертикаль
very очень
vessel судно
veteran ветеран
via через
viable жизнеспособный
vibrant вибрирующий
vice порок
vicious порочный
victim жертва
victory победа
video видео
view вид
viewer зритель
viewpoint точка зрения
village деревня
villager сельский житель
violate нарушать
violation нарушение
violence насилие
violent насильственный
virtual виртуальный
virtue добродетель
virus вирус
visa виза
visible видимый
vision видение
visit посетить
visitor посетитель
visual визуальный
vital жизненно важный
vitamin витамин
vocal вокальный
voice голос
volume объем
voluntary добровольный
volunteer доброволец
vote голос
voting голосование
vow клятва
vulnerability уязвимость
vulnerable уязвимый
wage заработная плата
wait ждать
waiter официант
wake просыпаться
walk идти
wall стена
wander бродить
want хотеть
war война
ward палата
warehouse склад
warfare военные действия
warm теплый
warming согревание
warn предупреждать
warning предупреждение
warrant доверенность
warrior воин
wash мыть
washing стирка
waste отходы
watch часы
water вода
wave волна
way путь
we мы
weak слабый
weaken слабеть
weakness слабость
wealth богатство
wealthy состоятельный
weapon оружие
wear носить
weather погода
weave ткать
web сеть
website вебсайт
wedding свадьба
wednesday среда
weed сорняк
week неделя
weekend выходные
weekly еженедельно
weigh весить
weight вес
weird странный
welcome добро пожаловать
welfare благосостояние
well хорошо
well-being здоровье
west запад
western западный
wet мокрый
what что
whatever что угодно
whatsoever любой
wheat пшеница
wheel колесо
when когда
whenever в любое время
where где
whereas поскольку
whereby посредством чего
wherever где бы
whether ли
which который
while пока
whilst пока
whip кнут
whisper шепот
white белый
who кто
whoever кто
whole весь
wholly полностью
whose чья
why причина
wide широкий
widely широко
widen расширять
widespread широко распространенный
widow вдова
width ширина
wife жена
wild дикий
wildlife живая природа
will будет
willing готовый
willingness готовность
win выиграть
wind ветер
window окно
wine вино
wing крыло
winner победитель
winter зима
wipe протирать
wire провод
wisdom мудрость
wise мудрый
wish желание
wit остроумие
with с
withdraw вывести
withdrawal вывод
within внутри
without без
witness свидетель
woman женщина
wonder удивляться
wonderful прекрасный
wood дерево
wooden деревянный
wool шерсть
word слово
work работа
worker работник
workforce рабочая сила
working работающий
workout тренировка
workplace рабочее место
workshop мастерская
world мир
worldwide общемировой
worm червь
worried взволнованный
worry беспокоиться
worse хуже
worship поклонение
worst наихудший
worth значимость
worthwhile стоящий
worthy достойный
would бы
wound рана
wow вау
wrap заворачивать
wrist запястье
write писать
writer писатель
writing письменный
written написанный
wrong неправильный
yard двор
yeah да
year год
yell кричать
yellow желтый
yes да
yesterday вчера
yet пока
yield уступать
you Вы
young юный
your Ваш
yours Ваш
yourself сам
youth молодежь
zero ноль
zone зона
